,Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,perc_approved_sem1,perc_approved_sem2,actual_target
3944,5,39,1,9003,1,1,Q2,1,1,1,4,8,Q2,0,0,1,0,0,0,Q4,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
4144,1,43,1,9556,1,1,Q1,1,38,38,7,8,Q1,1,0,0,1,0,0,Q3,0,0,7,14,6,10.744444444444444,1,0,8,10,8,11.8375,0,Q3,Q4,-1.7,Enrolled,Q1,Q2,0
3188,1,17,1,9147,1,1,Q2,1,19,38,4,4,Q2,1,0,0,1,1,0,Q3,0,0,5,10,1,10.0,0,0,5,5,0,0.0,0,Q2,Q2,2.02,Dropout,Q1,Q1,1
1198,1,1,1,9238,1,1,Q2,1,1,19,4,4,Q2,0,0,0,0,0,0,Q1,0,0,6,6,6,14.5,0,0,6,6,6,15.166666666666666,0,Q2,Q2,1.74,Graduate,Q2,Q2,0
3462,1,7,1,9085,1,3,Q1,1,37,37,7,7,Q1,0,0,0,1,0,0,Q4,0,4,10,20,4,11.5,2,3,9,13,3,11.666666666666666,2,Q4,Q4,-4.06,Dropout,Q1,Q1,1
3612,1,44,1,9085,1,39,Q2,1,19,37,5,7,Q2,1,0,0,1,1,0,Q1,0,2,6,10,4,12.5,0,1,6,16,2,12.0,0,Q3,Q2,1.79,Dropout,Q1,Q1,1
2539,1,18,1,9130,1,1,Q2,1,38,19,9,5,Q1,1,0,0,1,0,1,Q1,0,0,5,7,4,11.5,0,0,5,5,5,12.4,0,Q2,Q2,1.74,Graduate,Q1,Q2,0
1822,1,17,1,9147,1,1,Q2,1,1,38,4,5,Q2,1,0,0,1,0,0,Q1,0,0,5,10,1,11.0,0,0,5,13,0,0.0,0,Q3,Q4,-1.7,Enrolled,Q1,Q1,0
1786,2,39,1,9238,1,19,Q2,1,37,37,9,4,Q1,0,0,0,1,1,0,Q4,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Q4,Q4,-4.06,Dropout,Q1,Q1,1
2015,1,1,1,9238,1,1,Q1,1,19,19,6,6,Q1,1,0,0,1,0,0,Q2,0,0,6,6,6,11.5,0,0,6,7,6,13.285714285714286,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
292,1,44,1,9003,1,39,Q2,1,37,37,9,4,Q2,0,0,0,1,0,0,Q3,0,0,6,10,6,11.428571428571429,0,0,6,12,5,13.0,0,Q3,Q2,1.79,Enrolled,Q2,Q1,0
1904,1,1,1,9773,1,1,Q1,1,19,1,7,9,Q1,1,0,0,1,0,0,Q1,0,0,6,7,6,12.833333333333334,0,0,6,7,6,11.666666666666666,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
3014,1,1,6,9500,1,1,Q2,1,1,37,7,7,Q1,1,0,0,1,0,0,Q1,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,Q3,Q4,-1.7,Dropout,Q1,Q1,1
3881,1,1,2,9254,1,1,Q1,1,1,19,5,7,Q1,1,0,0,1,0,1,Q2,0,0,6,6,6,13.833333333333334,0,0,6,6,6,15.0,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
2617,1,17,1,9254,1,1,Q1,1,1,19,5,4,Q1,0,0,0,1,0,1,Q1,0,0,6,7,5,11.0,0,0,6,7,5,12.8,0,Q3,Q2,1.79,Graduate,Q1,Q1,0
2279,2,43,1,8014,0,1,Q1,1,37,37,5,5,Q2,0,0,0,1,1,0,Q4,0,0,6,9,6,12.142857142857142,0,0,6,6,0,0.0,0,Q4,Q1,-0.92,Dropout,Q2,Q1,1
2863,1,43,1,9853,1,1,Q2,1,37,37,6,6,Q1,0,0,1,1,0,0,Q4,0,20,21,23,21,12.333333333333334,0,19,19,19,19,12.105263157894736,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
3886,1,1,1,9254,1,1,Q1,1,19,19,7,8,Q1,1,0,0,1,0,1,Q2,0,0,6,6,6,14.5,0,0,6,7,5,15.0,0,Q3,Q2,1.79,Enrolled,Q2,Q1,0
1732,2,39,1,9119,1,1,Q1,1,37,38,9,10,Q2,0,0,1,1,1,0,Q4,0,0,5,11,3,10.666666666666666,0,0,5,5,2,12.5,0,Q4,Q1,-0.92,Dropout,Q1,Q1,1
435,1,1,6,9500,1,1,Q2,1,19,19,5,5,Q2,1,0,0,1,0,1,Q1,0,0,8,8,7,13.814285714285717,0,0,8,8,7,13.814285714285717,0,Q3,Q4,-1.7,Graduate,Q2,Q2,0
3444,1,1,2,9070,1,1,Q2,1,1,19,3,3,Q2,1,0,0,0,0,0,Q1,0,1,6,8,6,11.714285714285714,1,0,6,11,4,11.333333333333334,0,Q3,Q1,0.79,Dropout,Q2,Q1,1
1384,1,39,1,9070,1,1,Q1,1,1,1,5,3,Q1,1,0,0,1,1,1,Q3,0,0,6,6,6,15.0,0,0,6,6,2,16.0,0,Q4,Q4,-4.06,Graduate,Q2,Q1,0
3850,1,43,1,9991,0,1,Q1,1,37,19,9,9,Q1,0,0,0,0,1,0,Q4,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Q3,Q4,-1.7,Dropout,Q1,Q1,1
864,1,44,1,9085,1,39,Q2,1,1,1,5,4,Q2,1,1,0,0,1,0,Q1,0,2,6,6,6,14.0,0,1,6,11,6,13.5,0,Q3,Q2,1.79,Dropout,Q2,Q2,1
512,1,39,2,9670,1,1,Q2,1,34,34,0,0,Q1,0,0,0,1,0,0,Q4,0,0,5,6,4,12.5,0,0,5,7,4,11.75,0,Q1,Q3,0.32,Graduate,Q1,Q1,0
2325,2,39,1,9119,1,1,Q1,1,37,37,9,9,Q1,0,0,0,1,1,0,Q4,0,0,5,8,1,10.0,0,0,5,9,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
3242,1,39,1,8014,0,19,Q2,1,37,37,9,9,Q1,0,0,0,1,0,0,Q4,0,0,6,10,3,10.25,0,0,6,7,1,12.0,0,Q3,Q1,0.79,Dropout,Q1,Q1,1
564,1,1,6,9070,1,6,Q1,1,1,1,9,9,Q1,1,0,0,1,1,0,Q3,0,0,6,6,6,14.166666666666666,0,0,6,8,6,13.625,0,Q2,Q2,1.74,Graduate,Q2,Q2,0
572,1,17,6,9119,1,1,Q1,1,19,3,5,10,Q1,1,0,0,1,1,0,Q1,0,0,5,10,3,10.5,0,0,5,11,3,10.8,0,Q3,Q2,1.79,Dropout,Q1,Q1,1
3226,1,1,1,9085,1,1,Q1,1,19,38,9,9,Q2,0,0,1,1,0,0,Q3,0,0,6,8,6,13.285714285714286,0,0,6,13,6,12.875,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
2201,1,39,1,9500,1,1,Q2,1,38,3,9,1,Q2,0,0,0,1,1,0,Q3,0,0,7,11,7,11.294444444444444,0,0,8,22,2,12.6,0,Q4,Q4,-4.06,Graduate,Q2,Q1,0
227,1,1,1,9238,1,1,Q2,1,1,1,9,9,Q2,0,0,0,1,0,1,Q2,0,0,6,6,6,12.0,0,0,6,7,6,12.857142857142858,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
2368,1,1,1,9773,1,1,Q2,1,3,2,4,6,Q2,1,0,0,0,1,0,Q4,0,0,6,8,6,16.5,0,0,6,6,5,13.8,0,Q2,Q2,2.02,Enrolled,Q2,Q1,0
218,1,39,1,8014,0,1,Q2,1,1,19,5,4,Q1,0,0,0,1,0,1,Q4,0,0,6,16,1,10.0,0,0,6,13,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
1999,1,51,1,9147,1,1,Q2,1,19,19,9,7,Q1,0,0,1,0,0,0,Q4,0,14,15,17,14,10.214285714285714,0,13,13,13,13,11.384615384615383,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
1755,1,1,1,9119,1,1,Q2,1,1,1,3,3,Q2,0,0,0,0,1,1,Q1,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,Q1,Q2,3.51,Enrolled,Q2,Q2,0
4286,1,1,1,9085,1,1,Q2,1,37,19,9,9,Q2,1,0,0,1,1,0,Q2,0,0,5,8,5,12.8,0,0,5,9,4,13.666666666666666,1,Q2,Q2,1.74,Graduate,Q2,Q1,0
3307,1,7,1,8014,0,3,Q1,1,19,37,5,3,Q1,0,0,0,1,0,0,Q4,0,7,11,13,11,13.454545454545457,0,5,11,13,7,12.428571428571429,0,Q3,Q4,-1.7,Graduate,Q2,Q1,0
977,2,1,1,9085,1,1,Q2,1,19,19,192,144,Q2,0,0,0,1,1,1,Q3,0,0,5,6,5,11.8,0,0,5,7,4,13.25,1,Q2,Q2,1.74,Graduate,Q2,Q1,0
1217,1,44,1,8014,0,39,Q1,1,19,37,7,6,Q1,1,0,0,1,0,0,Q3,0,3,6,6,6,12.5,0,2,6,7,6,13.285714285714286,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
546,1,39,1,9119,1,40,Q1,1,1,1,5,10,Q2,0,0,0,1,1,0,Q3,0,2,5,6,5,14.2,0,1,5,5,2,13.5,0,Q4,Q1,-0.92,Enrolled,Q2,Q1,0
3698,1,1,1,9500,1,1,Q2,1,38,38,5,10,Q1,0,0,0,1,1,0,Q2,0,0,7,14,5,12.87857142857143,0,0,8,15,7,11.85625,0,Q4,Q4,-4.06,Graduate,Q1,Q2,0
1882,1,17,1,9254,1,1,Q1,1,19,38,9,9,Q1,0,0,0,1,0,0,Q1,0,0,5,5,0,0.0,0,0,6,0,0,0.0,0,Q1,Q2,3.51,Dropout,Q1,Q1,1
1500,1,1,1,9070,1,1,Q2,1,38,37,3,3,Q2,0,0,0,1,1,0,Q1,0,0,6,6,6,14.0,0,0,6,7,6,13.857142857142858,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
3908,2,39,1,9238,1,1,Q1,1,38,38,9,7,Q1,0,0,1,1,0,1,Q4,0,0,6,8,6,13.333333333333334,0,0,6,7,6,15.285714285714286,0,Q2,Q2,2.02,Graduate,Q2,Q2,0
4135,1,1,1,8014,0,1,Q1,1,38,38,9,7,Q1,1,0,0,1,0,0,Q4,0,0,6,8,5,12.8,0,0,6,8,5,11.0,0,Q1,Q1,-3.12,Graduate,Q1,Q1,0
4271,1,17,4,9119,1,1,Q2,1,1,3,1,4,Q2,1,0,0,1,1,0,Q1,0,0,5,6,5,14.6,0,0,5,5,5,15.2,0,Q1,Q2,3.51,Dropout,Q2,Q2,1
3670,1,1,1,171,1,1,Q2,1,1,3,4,4,Q2,1,0,0,1,0,1,Q1,0,6,12,12,12,13.666666666666666,0,4,11,12,11,14.166666666666666,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
1,1,15,1,9254,1,1,Q2,1,1,3,3,3,Q2,1,0,0,0,1,0,Q1,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,Q3,Q1,0.79,Graduate,Q2,Q2,0
2108,1,17,1,9085,1,1,Q2,1,2,19,2,9,Q2,1,0,0,1,0,0,Q1,0,0,5,12,2,11.5,0,0,5,12,3,11.8,2,Q2,Q2,1.74,Enrolled,Q1,Q1,0
4338,1,1,1,9670,1,1,Q1,1,37,37,9,6,Q2,0,0,0,1,0,1,Q1,0,0,5,7,3,12.666666666666666,0,0,5,5,4,12.5,0,Q1,Q1,-3.12,Enrolled,Q1,Q1,0
2665,2,39,1,9773,1,1,Q1,1,37,37,9,10,Q2,0,0,1,0,1,0,Q4,0,0,6,16,2,10.0,0,0,6,12,4,12.25,0,Q2,Q2,1.74,Dropout,Q1,Q1,1
1533,1,7,1,9119,1,4,Q2,1,4,3,2,7,Q2,0,0,1,1,1,0,Q4,0,0,5,6,4,14.5,0,0,5,10,3,16.2,0,Q3,Q1,0.79,Enrolled,Q1,Q1,0
1564,1,17,4,9085,1,1,Q1,1,37,1,3,9,Q1,0,0,0,1,0,0,Q2,0,0,6,9,6,13.166666666666666,0,0,6,8,4,14.0,0,Q3,Q1,0.79,Enrolled,Q2,Q1,0
256,1,17,1,9991,0,40,Q1,1,37,37,6,6,Q1,0,0,0,1,0,0,Q4,0,0,5,10,5,13.571428571428571,0,0,5,14,5,12.333333333333334,3,Q4,Q1,-0.92,Graduate,Q2,Q2,0
1673,1,39,1,9500,1,40,Q1,1,1,1,4,4,Q2,1,0,0,1,0,0,Q4,0,1,7,7,7,14.757142857142856,0,1,8,9,8,14.077777777777778,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
2391,1,43,1,9003,1,1,Q1,1,37,1,5,4,Q2,0,0,0,1,1,0,Q3,0,8,14,24,8,12.5,2,6,13,23,10,11.6,0,Q4,Q4,-4.06,Dropout,Q1,Q1,1
2042,1,1,1,9254,1,1,Q1,2,37,1,9,3,Q2,1,0,0,1,1,0,Q1,1,0,6,6,6,13.666666666666666,0,0,6,6,6,13.5,0,Q1,Q3,0.32,Graduate,Q2,Q2,0
3340,1,1,3,9773,1,1,Q2,1,34,1,5,10,Q2,1,0,0,0,1,0,Q1,0,0,4,8,0,0.0,1,0,6,0,0,0.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
2693,1,1,1,9003,1,1,Q2,1,38,1,9,4,Q2,0,0,0,1,1,0,Q1,0,0,6,7,6,16.0,0,0,6,6,6,15.166666666666666,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
3275,5,7,1,9147,1,40,Q1,1,37,37,9,9,Q1,0,0,0,1,0,0,Q3,0,10,15,15,13,10.923076923076923,0,5,10,10,7,11.142857142857142,0,Q4,Q4,-4.06,Graduate,Q2,Q1,0
2268,1,43,1,9500,1,1,Q1,1,3,4,2,4,Q1,0,0,0,1,1,0,Q1,0,0,7,12,4,12.65,0,0,7,10,3,10.666666666666666,0,Q4,Q1,-0.92,Dropout,Q1,Q1,1
1605,1,53,1,9003,1,42,Q1,1,38,38,9,9,Q2,1,0,1,1,1,0,Q2,0,7,12,16,11,12.545454545454543,0,5,10,12,8,11.625,0,Q1,Q2,3.51,Enrolled,Q2,Q1,0
4070,1,18,1,9500,1,1,Q2,1,3,3,3,3,Q2,0,0,0,1,0,0,Q1,0,0,7,7,7,14.05714285714286,0,0,8,9,8,14.6,0,Q4,Q1,-0.92,Graduate,Q2,Q2,0
2309,1,17,3,9119,1,1,Q1,1,1,38,3,3,Q2,0,0,0,1,1,1,Q1,0,0,5,5,5,13.0,0,0,5,5,5,14.2,0,Q1,Q2,3.51,Graduate,Q2,Q2,0
1440,1,1,5,9670,1,1,Q2,1,19,19,7,3,Q2,0,0,0,1,1,0,Q1,0,0,5,5,4,12.5,0,0,5,5,4,14.25,0,Q1,Q3,0.32,Graduate,Q1,Q1,0
1503,2,39,1,9500,1,1,Q1,1,37,37,191,183,Q2,0,0,0,1,0,0,Q4,0,0,7,11,5,13.34,0,0,7,9,5,10.84,0,Q3,Q2,1.79,Enrolled,Q1,Q1,0
3347,1,39,1,9147,1,12,Q2,1,37,37,9,9,Q2,0,0,0,1,1,0,Q4,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
287,1,39,1,8014,0,15,Q2,1,34,1,90,2,Q1,0,0,0,1,0,0,Q4,0,0,6,9,4,12.0,0,0,6,12,4,11.5,0,Q1,Q3,0.32,Graduate,Q1,Q1,0
981,2,39,1,9991,0,1,Q1,1,19,19,4,4,Q1,0,0,0,1,1,1,Q4,0,0,5,9,4,11.0,0,0,5,6,5,11.4,0,Q1,Q2,3.51,Enrolled,Q1,Q2,0
2551,1,17,3,9070,1,1,Q2,1,3,3,4,4,Q2,1,0,0,1,0,1,Q2,0,0,6,6,6,12.5,0,0,6,6,6,14.333333333333334,0,Q3,Q4,-1.7,Enrolled,Q2,Q2,0
3788,1,44,1,9003,1,39,Q1,1,3,1,4,6,Q2,0,0,0,1,1,0,Q1,0,0,6,8,5,11.5,0,0,6,11,6,11.333333333333334,0,Q3,Q2,1.79,Enrolled,Q1,Q2,0
1212,4,39,1,9500,1,19,Q2,1,38,1,9,4,Q1,0,0,0,1,0,1,Q4,0,0,8,9,8,13.63,1,0,8,9,8,13.63,1,Q1,Q1,-3.12,Graduate,Q2,Q2,0
4133,1,1,1,9254,1,1,Q1,1,37,37,7,7,Q1,0,0,0,1,0,0,Q1,0,0,6,10,5,12.2,0,0,6,10,5,11.6,0,Q4,Q1,-0.92,Enrolled,Q1,Q1,0
2914,6,39,2,9147,1,1,Q2,1,37,37,9,9,Q1,0,0,0,1,0,0,Q4,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Q1,Q1,-3.12,Dropout,Q1,Q1,1
4042,1,1,1,9773,1,1,Q1,1,19,19,9,9,Q1,1,0,0,1,0,0,Q1,0,0,6,6,5,12.6,0,0,6,8,6,12.0,0,Q2,Q2,2.02,Graduate,Q1,Q2,0
4074,1,18,1,9500,1,1,Q2,1,38,37,4,9,Q1,1,0,0,1,0,1,Q2,0,0,7,10,7,12.625,0,0,8,8,8,13.0625,0,Q4,Q4,-4.06,Graduate,Q2,Q2,0
4344,1,17,5,9238,1,1,Q2,1,38,37,9,9,Q2,0,0,1,0,0,0,Q3,0,0,6,10,5,11.833333333333334,0,0,6,10,5,13.2,0,Q3,Q1,0.79,Dropout,Q1,Q1,1
164,1,17,2,9670,1,1,Q1,1,1,19,5,4,Q1,0,0,0,1,0,0,Q1,0,0,5,5,5,14.2,0,0,5,5,5,14.2,0,Q1,Q3,0.32,Graduate,Q2,Q2,0
1015,1,17,1,9254,1,1,Q1,1,19,19,9,8,Q1,1,0,0,1,0,0,Q2,0,0,6,6,6,12.333333333333334,0,0,6,6,6,12.333333333333334,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
2165,1,44,1,9238,1,39,Q2,1,1,1,9,3,Q2,1,0,0,1,0,0,Q2,0,3,6,6,6,12.833333333333334,0,2,6,6,6,13.833333333333334,0,Q3,Q2,1.79,Graduate,Q2,Q2,0
2326,1,51,1,9119,1,1,Q1,1,2,37,2,9,Q1,1,0,0,1,1,0,Q1,0,0,5,10,0,0.0,0,0,5,7,1,10.0,0,Q1,Q3,0.32,Enrolled,Q1,Q1,0
1362,1,39,1,9070,1,1,Q2,1,38,38,5,5,Q1,0,0,0,1,1,0,Q4,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Q3,Q2,1.79,Dropout,Q1,Q1,1
1812,2,51,1,9500,1,1,Q1,1,37,37,5,5,Q1,0,0,0,1,1,0,Q4,0,0,7,11,5,12.1,0,0,7,10,5,12.6,0,Q2,Q2,2.02,Dropout,Q1,Q1,1
2185,1,17,1,9254,1,1,Q1,1,19,19,7,5,Q1,1,0,0,1,0,1,Q1,0,0,6,10,4,12.25,0,0,6,9,3,12.333333333333334,0,Q1,Q1,-3.12,Graduate,Q1,Q1,0
1852,1,1,1,9147,1,1,Q1,1,3,19,3,3,Q1,0,0,0,1,1,0,Q1,0,0,5,6,5,12.6,0,0,5,13,5,11.8,5,Q4,Q1,-0.92,Graduate,Q2,Q2,0
2068,1,18,4,9853,1,1,Q1,1,19,38,4,10,Q1,1,0,0,1,0,0,Q1,0,0,6,8,5,12.666666666666666,0,0,6,8,5,11.0,0,Q4,Q4,-4.06,Enrolled,Q1,Q1,0
1483,1,17,1,9254,1,1,Q1,1,1,1,9,9,Q1,0,0,0,1,0,1,Q1,0,0,6,8,6,11.166666666666666,0,0,6,7,4,13.4,0,Q4,Q1,-0.92,Graduate,Q2,Q1,0
3633,1,39,1,9254,1,1,Q2,1,37,37,4,6,Q2,0,0,0,1,0,0,Q4,0,5,10,14,9,12.416666666666666,0,5,9,14,7,13.0,0,Q2,Q2,1.74,Graduate,Q2,Q1,0
3785,1,44,1,9003,1,39,Q2,1,1,38,4,9,Q2,0,0,0,1,1,1,Q2,0,0,6,18,3,12.0,0,0,6,17,3,11.666666666666666,0,Q4,Q4,-4.06,Enrolled,Q1,Q1,0
718,2,42,1,9991,0,6,Q1,1,37,37,9,9,Q1,0,0,0,1,1,0,Q4,0,0,5,10,5,15.8,0,0,5,5,5,17.6,0,Q1,Q1,-3.12,Enrolled,Q2,Q2,0
1559,1,1,3,9500,1,1,Q2,1,3,19,2,10,Q2,1,0,0,1,1,0,Q1,0,0,8,8,8,13.24875,0,0,8,8,8,13.24875,0,Q1,Q1,-3.12,Graduate,Q2,Q2,0
